Name,Reviews,Category
Akinyi M,This is one of the oldest hotels but its has retained its allure and beauty and service. Please don't change the management. It is within the city centre making it accessible to get to the place you need in town thats why I stay here,Positive
Ahmad Mreish,"I had bad experience last year, I had a dinner next to the pool, I still remember that day til today! The food was horrible, cold, and taste funny. We tried to change the order but it turn into the same horrible taste. We tried to talk to the chef but no luck that make us leave without eating anything.Also the service was very slow,I highly don't recommend it!",Negative
"
Charles Nichols",The management of this hotel employs unethical business practices targeting foreigners. Highly recommend you pick somewhere else to stay.,Negative
"
Jude Orazulike","Completely overrated. Lack space. No privacy for visiting guests. Poor attitute of front desk staff.
",Negative
Cynthia Mumbo,"5 star beautiful place, but I was treated like trash. Concierge typical of inferiority complex came to ask me why I was at the lobby. Didn't ask anyone else ,Absolutely disgusted",Negative
Douglas M,This is a fantastic camp. Rooms are clean and large. They are very luxurious. The staff is spectacular. Everyone was accommodating and friendly. The food was tasty. The local safari just outside the camp is loaded with animals. ,Positive
muzungu57 ,"first class hotel in NairobiSerena Hotel offers everything you need! a nice garden, a heated pool, a big enough gym, a spa, several restaurants and bars and - for us most important - an excellent guest relation desk: due to Covid19, we had to take a PCR test the day before our flights. the hotel offers this service, taken at your room for USD 100, the results are printed and given to you the next morning! we asked for alternatives to a closed on Monday Sushi place, they provided us with a name, did the reservation! one of our flights had been rescheduled 6 hours later and the offered us a very late check out at 2200 for half of the room price.",Positive
wamuyu501,"RUDE STAFFIf you are kenyan and black, kindly stay away from this hotel. Suffice to stay, after a 3 day staycation I am not coming back. Don't get me wrong, the hotel has top notch service but the treatment by the staff terrible. Right from the reception you encounter rude, impressionable and impersonal staff. At the breakfast buffet two waiters were arguing rudely on whether to sit me inside or outside. I therefore had to stand for close to 5 minutes before being seated. Sometimes I would be left talking to myself as the waiters rushed to take orders from white and Indian customers. If your staff don't like blackKenyans, maybe you should",Negative
Nyawira W, walked in was to meet a business colleague and have lunch! Walked in.. sat by the pool. 15mins in no one has come to ask on what I would like. 3 more clients walked in and waiters were pretty much tail gating them I’d say.Maybe I wasn’t as ‘smart’ as the other people in suits and all?Anyway it’s a service industry. Treat all clients the same.,Negative
saltsy372 ,"Stayed here for 2 nights on arrival in Nairobi. First night was very late.Hotel is about half hour from international airport.Very comfortable rooms with all amenities.Good sized room, nicely decorated, with excellent bathroom and all facilities. everything we needed in the room.We were exhausted after the fight from Miami via London to Nairobi, so we don't remember much about the first night.Hotel and room is decked out in African colors, burnt oranges, brown, creams and golds. Room has a safe and mini bar, good storage area and nice view from the picture window.Front desk was very helpful and friendly. Security is high level. guards on gated entry and metal detectors are used. Luggage is also put through metal detectors when you enter the hotel.All the hotels have this.All in all this is a good quality hotel for a Nairobi trip, before or after safari",Positive
