Word,Label
Mũndũ,Noun
Mũaki,Noun
Ihũa,Noun
Kĩrĩma,Noun
Gĩtĩri,Noun
Ikara,Verb
Rehe,Verb
Tengera,Verb
Rũga,Verb
koma,Verb
andika,Verb
tuma,Verb
Cukuru,Noun
Handũ,Noun
Mũteti,Noun
Mũiko,Noun
Mũitu,Noun
Ndereba,Noun
Mũrogi,Noun
Kĩhĩĩ,Noun
Mũrutani,Noun
Mũirũ,Noun
Mũici,Noun
Kiratũ,Noun
Mũrũthi,Noun
Thiia,Noun
Kĩmbu,Noun
Nũgũ,Noun
Kĩngangi,Noun
Kahiũ,Noun
Nyũngũ,Noun
Gakarakũ,Noun
Mũtune,Noun
Mwerũ,Noun
Mũirũ,Noun
Njaũ,Noun
Mbakũri,Noun
Twara,Verb
roga,Verb
tũra,Verb
rima,Verb
enda,Verb
onja,Verb
aka,Verb
endia,Verb
toga,Verb
rwara,Verb
ria,Verb
hokeka,Verb
uma,Verb
thoma,Verb
enyũka,Verb
ora,Verb
agana,Verb
raiha,Verb
kĩga,Verb
kũra,Verb
mwihokeku,Adjective
mwonju,Adjective
mũthomu,Adjective
mũũmu,Adjective
nyenyũku,Adjective
njũru,Adjective
njaganu,Adjective
ndaihu,Adjective
ngĩgu,Adjective
ngũrũ,Adjective
inyuĩ,Pronoun
ithuĩ,Pronoun
nĩĩ,Pronoun
othee,Pronoun
wee,Pronoun
atia,Pronoun
rĩrĩa,Pronoun
nũũ,Pronoun
ma,Adverb
ũmũthĩ,Adverb
nĩkĩ,Adverb
tene,Adverb
rĩu,Adverb
Hwaĩinĩ,Adverb
